Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,ust_id2,mf,description_1,package,mpn,price,oc_farnell,snapeda_link,mp,supplier,oc_newark,availability,check_prices,manufacturer_name,mouser_price-stock,mouser_part_number,height,arrow_price-stock,arrow_part_number,manufacturer_part_number
1,Unpolarized capacitor,C,C211C213C214C218,1nF,C_0805_2012Metric,4,,6508260b462c6d9e720541f1 651abc26462c6d9e720551fa 5c70984812875079b91f8ba6,,,,,,,,,,,,,,,,,,,,
2,Unpolarized capacitor,C,C201C202C204C208C209C210C212C215C216C219C221C301C302C303C305C308C310,100nF,C_0805_2012Metric,17,,6508260b462c6d9e720541f1 5c70984712875079b91f8b4c,,,,,,,,,,,,,,,,,,,,
3,"EMI filter, single capacitor",Filter_EMI_C,C304,1uF,FIR_0805,1,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/emc/emifil/c31e.ashx?la=en-gb,5c70984412875079b91f880f,,,,,,,,,,,,,,,,,,,,
4,Polarized capacitor,C_Polarized,C203C205C206C207C217C220,10uF,CP_EIA-3216-18_Kemet-A,6,,65089dd0462c6d9e720542b3,,,,,,,,,,,,,,,,,,,,
5,Unpolarized capacitor,C,C306C307C309,10uF,C_0805_2012Metric,3,,5c70984712875079b91f8b53,,,,,,,,,,,,,,,,,,,,
6,2x01 2.54 mm pitch header,HEADER_2x01,J202,HEADER_2x01,Straight_2x01,1,,,,,,,,,,,,,,,,,,,,,,
7,2x03 2.54 mm pitch header,HEADER_2x03,J301,HEADER_2x03,Straight_2x03,1,,,,,,,,,,,,,,,,,,,,,,
8,2x08 2.54 mm pitch header,HEADER_2x08,J302,HEADER_2x08,Straight_2x08,1,,,,,,,,,,,,,,,,,,,,,,
9,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",Conn_Coaxial,J201,MCX,SMA_Amphenol_901-144_Vertical,1,~,5fa10cc512875025b39779f6,,,,,,,,,,,,,,,,,,,,
10,Inductor,L,L201,L,L_0805_2012Metric,1,,626fd6fcdc56076e9a222966,,,,,,,,,,,,,,,,,,,,
11,"Inductor with ferrite core, small symbol",L_Ferrite_Small,L301,NL03KT330,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,,64fe1808f3b9d36f37fc944d,,,,,,,,,,,,,,,,,,,,
12,Two-piece EMI RF shielding cabinet,RFShield_TwoPieces,M201,RFShield_TwoPieces,Laird_Technologies_BMI-S-210-F_44.00x30.50mm,1,,5c70984312875079b91f873d,5c70984312875079b91f873c,,,,,,,,,,,,,,,,,,,
13,Resistor,R,R202R211,10,R_0805_2012Metric,2,,5c70984512875079b91f896d,,,,,,,,,,,,,,,,,,,,
14,Resistor,R,R201R203R204R205R206,100,R_0805_2012Metric,5,,5c70984512875079b91f8977 5c70984512875079b91f898c,,,,,,,,,,,,,,,,,,,,
15,Resistor,R,R209,470R,R_0805_2012Metric,1,,5c70984512875079b91f8986,,,,,,,,,,,,,,,,,,,,
16,Resistor,R,R207R208,1k,R_0805_2012Metric,2,,5c70984512875079b91f898c 5c70984612875079b91f899f,,,,,,,,,,,,,,,,,,,,
