Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"","","",63.6584,39.6300,0.0000,top
"","","",6.1900,31.1400,0.0000,top
"","","",33.4900,-1.4700,0.0000,top
"C201","100nF","C_0805_2012Metric",21.7000,22.4437,0.0000,bottom
"C202","100nF","C_0805_2012Metric",30.5345,19.6283,90.0000,bottom
"C203","10uF","CP_EIA-3216-18_Kemet-A",22.3000,24.6437,0.0000,bottom
"C204","100nF","C_0805_2012Metric",28.2745,19.5800,90.0000,bottom
"C205","10uF","CP_EIA-3216-18_Kemet-A",30.8900,28.8400,180.0000,bottom
"C206","10uF","CP_EIA-3216-18_Kemet-A",35.6525,27.4800,180.0000,bottom
"C207","10uF","CP_EIA-3216-18_Kemet-A",27.3525,26.5925,0.0000,bottom
"C208","100nF","C_0805_2012Metric",31.4900,30.9900,180.0000,bottom
"C209","100nF","C_0805_2012Metric",36.2700,25.3200,180.0000,bottom
"C210","100nF","C_0805_2012Metric",26.7525,28.7925,0.0000,bottom
"C211","1nF","C_0805_2012Metric",19.8100,30.7800,0.0000,bottom
"C212","100nF","C_0805_2012Metric",31.5300,23.8600,90.0000,bottom
"C213","1nF","C_0805_2012Metric",23.5025,27.9925,-90.0000,bottom
"C214","1nF","C_0805_2012Metric",29.5000,33.8438,180.0000,bottom
"C215","100nF","C_0805_2012Metric",39.7000,23.5437,-90.0000,bottom
"C216","100nF","C_0805_2012Metric",43.8000,21.3438,180.0000,bottom
"C217","10uF","CP_EIA-3216-18_Kemet-A",46.0000,31.5437,180.0000,bottom
"C218","1nF","C_0805_2012Metric",39.9000,33.5437,180.0000,bottom
"C219","100nF","C_0805_2012Metric",46.6000,29.4437,180.0000,bottom
"C220","10uF","CP_EIA-3216-18_Kemet-A",44.2000,37.3438,180.0000,bottom
"C221","100nF","C_0805_2012Metric",48.3000,37.3438,0.0000,bottom
"C301","100nF","C_0805_2012Metric",54.1005,25.3694,180.0000,bottom
"C302","100nF","C_0805_2012Metric",53.4005,32.9694,180.0000,bottom
"C303","100nF","C_0805_2012Metric",50.6005,23.3694,0.0000,bottom
"C304","1uF","FIR_0805",35.5400,16.5938,0.0000,bottom
"C305","100nF","C_0805_2012Metric",39.0000,16.9437,-90.0000,bottom
"C306","10uF","C_0805_2012Metric",47.5521,17.6675,-90.0000,bottom
"C307","10uF","C_0805_2012Metric",41.1000,16.9437,-90.0000,bottom
"C308","100nF","C_0805_2012Metric",49.6921,17.6475,-90.0000,bottom
"C309","10uF","C_0805_2012Metric",54.1005,21.2294,180.0000,bottom
"C310","100nF","C_0805_2012Metric",54.1005,23.3294,180.0000,bottom
"FID104","Fiducial","Fiducial_1mm_Mask2mm",73.0896,16.0746,-90.0000,bottom
"J201","MCX","SMA_Amphenol_901-144_Vertical",10.6900,29.8300,0.0000,top
"J202","HEADER_2x01","Straight_2x01",11.5400,17.9300,0.0000,bottom
"J301","HEADER_2x03","Straight_2x03",61.2900,8.7300,-90.0000,top
"J302","HEADER_2x08","Straight_2x08",69.6700,24.8900,0.0000,bottom
"L201","L","L_0805_2012Metric",12.0400,23.8800,90.0000,bottom
"L301","NL03KT330","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",32.3400,17.6937,-90.0000,bottom
"M103","HOLE","MountingHole_3mm",10.1600,10.1600,0.0000,top
"M201","RFShield_TwoPieces","Laird_Technologies_BMI-S-210-F_44.00x30.50mm",38.9900,27.8300,0.0000,bottom
"R201","100","R_0805_2012Metric",10.0400,21.7800,-90.0000,bottom
"R202","10","R_0805_2012Metric",21.7000,20.3438,0.0000,bottom
"R203","100","R_0805_2012Metric",31.4800,26.6800,180.0000,bottom
"R204","100","R_0805_2012Metric",36.2700,23.2000,180.0000,bottom
"R205","100","R_0805_2012Metric",25.9025,23.5925,-90.0000,bottom
"R206","100","R_0805_2012Metric",24.6700,34.3600,0.0000,bottom
"R207","1k","R_0805_2012Metric",21.5000,33.7437,-90.0000,bottom
"R208","1k","R_0805_2012Metric",21.4300,27.9600,-90.0000,bottom
"R209","470R","R_0805_2012Metric",33.5300,22.2300,-90.0000,bottom
"R210","10k","R_0805_2012Metric",29.5000,35.8438,180.0000,bottom
"R211","10","R_0805_2012Metric",39.9000,31.4437,180.0000,bottom
"U201","AD8691","TSOT-23-5",24.6525,31.5925,0.0000,bottom
"U202","ISL21080DIH309","SOT-23",28.6900,23.4175,90.0000,bottom
"U203","TS3021ILT","SOT-23-5",36.0800,30.3000,0.0000,bottom
"U204","AD8691","TSOT-23-5",33.9000,34.1437,-90.0000,bottom
"U205","SN74LVC2G74","VSSOP-8_2.3x2mm_P0.5mm",44.3000,24.7437,90.0000,bottom
"U206","ISL21080CIH341Z-TK","SOT-23",40.6000,27.0437,0.0000,bottom
"U207","LTC1865-MS","MSOP-10_3x3mm_P0.5mm",45.1000,34.4438,0.0000,bottom
"U301","TXU0304PWR","SOP65P640X120-14N",53.8605,29.3157,180.0000,bottom
"U302","SN74LVC1G125DCKT","SOT65P210X110-5N",53.3591,35.4090,0.0000,bottom
"U303","MIC5504-3.3YM5-TR","SOT-23-5",54.1230,18.0219,90.0000,bottom
